Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-01-11,Pariyerum Perumal,2018,https://boxd.it/WcCq3,4.5,,,2019-01-01
2020-01-11,WALL·E,2008,https://boxd.it/WcCvH,4.5,,,2019-01-01
2020-01-11,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/WcBnR,4.5,,,2019-01-02
2020-01-11,The Dark Knight Rises,2012,https://boxd.it/WcBqr,4.5,,,2019-01-02
2020-01-11,Toy Story,1995,https://boxd.it/WcBkt,4.5,,,2019-01-03
2020-01-11,American Beauty,1999,https://boxd.it/WcBuX,4.5,,,2019-01-03
2020-01-11,The Silence of the Lambs,1991,https://boxd.it/WcBgh,4.5,,,2019-01-04
2020-01-11,Badhaai Ho,2018,https://boxd.it/WcCld,4,,,2019-01-04
2020-01-11,The Wolf of Wall Street,2013,https://boxd.it/WcCCX,4.5,,,2019-01-04
2020-01-11,The Godfather,1972,https://boxd.it/WcCeL,4.5,,,2019-01-05
2020-01-11,Gladiator,2000,https://boxd.it/WcBvh,4.5,,,2019-01-06
2020-01-11,Creed,2015,https://boxd.it/WcBIP,3.5,,,2019-01-12
2020-01-11,Roma,2018,https://boxd.it/WcCaz,4.5,,,2019-01-15
2020-01-11,Uri: The Surgical Strike,2019,https://boxd.it/WcCqR,4.5,,,2019-01-20
2020-01-11,Gentleman,1993,https://boxd.it/WcC0p,3.5,,,2019-01-21
2020-01-11,Pyaasa,1957,https://boxd.it/WcC3N,4.5,,,2019-01-21
2020-01-11,Zakir Khan: Kaksha Gyarvi,2018,https://boxd.it/WcCvx,4,,,2019-01-21
2020-01-11,Chhoti Si Baat,1976,https://boxd.it/WcChP,4,,,2019-01-23
2020-01-11,Bombay,1995,https://boxd.it/WcBjF,4,,,2019-01-24
2020-01-11,L.A. Confidential,1997,https://boxd.it/WcBn3,4.5,,,2019-01-25
2020-01-11,The Prestige,2006,https://boxd.it/WcC0z,4.5,,,2019-01-25
2020-01-11,Bohemian Rhapsody,2018,https://boxd.it/WcBvr,4.5,,,2019-01-26
2020-01-11,Sunset Boulevard,1950,https://boxd.it/WcBVJ,4.5,,,2019-01-26
2020-01-11,Aruvi,2016,https://boxd.it/WcC9h,4.5,,,2019-01-26
2020-01-11,"Lock, Stock and Two Smoking Barrels",1998,https://boxd.it/WcBnH,4.5,,,2019-01-28
2020-01-11,Bangalore Days,2014,https://boxd.it/WcBOj,4,,,2019-01-28
2020-01-11,Mayabazar,1957,https://boxd.it/WcBED,4,,,2019-01-29
